시도명,선거구,인구수,상세
부산광역시,부산진구 갑,197545,"부전1동, 연지동, 초읍동, 양정1동, 양정2동, 부암1동, 부암3동, 당감1동, 당감2동, 당감4동"
부산광역시,부산진구 을,186988,"부전2동, 전포1동, 전포2동, 가야1동, 가야2동, 개금1동, 개금2동, 개금3동, 범천1동, 범천2동"
부산광역시,동래구,272672,동래구 전역
부산광역시,남구 갑,142181,"대연1동, 대연3동, 대연4동, 대연5동, 대연6동, 문현1동, 문현2동, 문현3동, 문현4동"
부산광역시,남구 을,141941,"용호1동, 용호2동, 용호3동, 용호4동, 용당동, 감만1동, 감만2동, 우암동"
부산광역시,북구·강서구 갑,166940,"북구 구포1동, 구포2동, 구포3동, 덕천1동, 덕천2동, 덕천3동, 만덕1동, 만덕2동, 만덕3동"
부산광역시,북구·강서구 을,232724,"북구 금곡동, 화명1동, 화명2동, 화명3동"
부산광역시,북구·강서구 을,232724,강서구 전역
부산광역시,해운대구 갑,226067,"우1동, 우2동, 우3동, 중1동, 중2동, 좌1동, 좌2동, 좌3동, 좌4동, 송정동"
부산광역시,해운대구 을,196648,"반여1동, 반여2동, 반여3동, 반여4동, 반송1동, 반송2동, 재송1동, 재송2동"
부산광역시,사하구 갑,146960,"괴정1동, 괴정2동, 괴정3동, 괴정4동, 당리동, 하단1동, 하단2동"
부산광역시,사하구 을,191965,"신평1동, 신평2동, 장림1동, 장림2동, 다대1동, 다대2동, 구평동, 감천1동, 감천2동"
부산광역시,금정구,247048,금정구 전역
부산광역시,연제구,209960,연제구 전역
부산광역시,수영구,179917,수영구 전역
부산광역시,사상구,238918,사상구 전역
부산광역시,기장군,152077,기장군 전역
대구광역시,중구·남구,242189,중구·남구 전역
대구광역시,동구 갑,155086,"신암1동, 신암2동, 신암3동, 신암4동, 신암5동,신천1·2동, 신천3동, 신천4동, 효목1동, 효목2동, 지저동, 동촌동"
대구광역시,동구 을,194968,"도평동, 불로·봉무동, 방촌동, 해안동, 안심1동, 안심2동, 안심3·4동, 공산동"
대구광역시,서구,206986,서구 전역
대구광역시,북구 갑,192005,"고성동, 칠성동, 침산1동, 침산2동, 침산3동, 산격1동, 산격2동,산격3동, 산격4동, 대현동, 복현1동, 복현2동, 검단동, 노원동"
대구광역시,북구 을,251677,"무태·조야동, 관문동, 태전1동, 태전2동, 구암동, 관음동, 읍내동, 동천동, 국우동"
대구광역시,수성구 갑,261377,"범어1동, 범어2동, 범어3동, 범어4동, 만촌1동, 만촌2동, 만촌3동, 황금1동, 황금2동, 고산1동, 고산2동, 고산3동"
대구광역시,수성구 을,190259,"수성1가동, 수성2·3가동, 수성4가동, 중동, 상동, 파동, 두산동, 지산1동, 지산2동, 범물1동, 범물2동"
대구광역시,달서구 갑,185308,"죽전동, 장기동, 용산1동, 용산2동, 이곡1동, 이곡2동, 신당동"
대구광역시,달서구 을,250234,"월성1동, 월성2동, 진천동, 상인1동, 상인2동, 상인3동, 도원동"
대구광역시,달서구 병,169183,"성당동, 두류1·2동, 두류3동, 감삼동, 본리동, 송현1동, 송현2동, 본동"
대구광역시,달성군,190575,달성군 전역
인천광역시,중구·동구·강화군·옹진군,275896,중구·동구·강화군·옹진군 전역
인천광역시,남구 갑,197924,"도화1동, 도화2·3동, 주안1동, 주안2동, 주안3동, 주안4동, 주안5동, 주안6동, 주안7동, 주안8동"
인천광역시,남구 을,207298,"숭의1·3동, 숭의2동, 숭의4동, 용현1·4동, 용현2동, 용현3동,용현5동, 학익1동, 학익2동, 관교동, 문학동"
인천광역시,연수구 갑,162911,"옥련2동, 선학동, 연수1동, 연수2동, 연수3동, 청학동, 동춘3동"
인천광역시,연수구 을,152751,"옥련1동, 동춘1동, 동춘2동, 송도1동, 송도2동, 송도3동"
인천광역시,남동구 갑,261233,"구월1동, 구월3동, 구월4동, 간석1동, 간석4동, 남촌·도림동, 논현1동, 논현2동, 논현·고잔동"
인천광역시,남동구 을,269415,"구월2동, 간석2동, 간석3동, 만수1동, 만수2동, 만수3동, 만수4동, 만수5동, 만수6동, 장수·서창동"
인천광역시,부평구 갑,278930,"부평1동, 부평2동, 부평3동, 부평4동, 부평5동, 부평6동,산곡3동, 산곡4동, 부개1동, 일신동, 십정1동, 십정2동"
인천광역시,부평구 을,277787,"산곡1동, 산곡2동, 청천1동, 청천2동, 갈산1동, 갈산2동, 삼산1동, 삼산2동, 부개2동, 부개3동"
인천광역시,계양구 갑,158869,"효성1동, 효성2동, 작전1동, 작전2동, 작전·서운동"
인천광역시,계양구 을,176632,"계산1동, 계산2동, 계산3동, 계산4동, 계양1동, 계양2동, 계양3동"
인천광역시,서구 갑,262545,"청라1동, 청라2동, 가정1동, 가정2동, 가정3동, 석남1동, 석남2동,석남3동, 신현·원창동, 가좌1동, 가좌2동, 가좌3동, 가좌4동"
인천광역시,서구 을,240839,"검암·경서동, 연희동, 검단1동, 검단2동, 검단3동, 검단4동, 검단5동"
광주광역시,동구·남구 갑,168835,"남구 봉선1동, 봉선2동, 월산동, 월산4동, 월산5동, 주월1동, 주월2동, 효덕동, 송암동, 대촌동"
광주광역시,동구·남구 을,152220,"남구 양림동, 방림1동, 방림2동, 사직동, 백운1동, 백운2동"
광주광역시,동구·남구 을,152220,동구 전역
광주광역시,서구 갑,148019,"양동, 양3동, 농성1동, 농성2동, 광천동, 유덕동, 치평동, 상무1동, 화정1동, 화정2동, 동천동"
광주광역시,서구 을,158217,"상무2동, 화정3동, 화정4동, 서창동, 금호1동, 금호2동, 풍암동"
광주광역시,북구 갑,189082,"중흥1동, 중흥2동, 중흥3동, 중앙동, 임동, 신안동, 우산동, 풍향동, 문화동,문흥1동, 문흥2동, 두암1동, 두암2동, 두암3동, 오치1동, 오치2동, 석곡동"
광주광역시,북구 을,258125,"용봉동, 운암1동, 운암2동, 운암3동, 동림동, 삼각동, 일곡동, 매곡동, 건국동, 양산동"
광주광역시,광산구 갑,167492,"송정1동, 송정2동, 도산동, 신흥동, 어룡동, 우산동, 월곡1동, 월곡2동, 운남동, 동곡동, 평동, 삼도동, 본량동"
광주광역시,광산구 을,232613,"비아동, 첨단1동, 첨단2동, 신가동, 수완동, 하남동, 임곡동, 신창동"
대전광역시,동구,240837,동구 전역
대전광역시,중구,257076,중구 전역
대전광역시,서구 갑,249962,"복수동, 도마1동, 도마2동, 정림동, 변동, 괴정동, 가장동, 내동, 가수원동, 관저1동, 관저2동, 기성동"
대전광역시,서구 을,242485,"용문동, 탄방동, 갈마1동, 갈마2동, 월평1동, 월평2동, 월평3동, 둔산1동, 둔산2동, 만년동, 둔산3동"
대전광역시,유성구 갑,162893,"진잠동, 온천1동, 온천2동, 노은1동, 원신흥동"
대전광역시,유성구 을,171307,"노은2동, 노은3동, 신성동, 전민동, 구즉동, 관평동"
대전광역시,대덕구,197728,대덕구 전역
울산광역시,중구,243591,중구 전역
울산광역시,남구 갑,187334,"신정1동, 신정2동, 신정3동, 신정4동, 신정5동, 삼호동, 무거동, 옥동"
울산광역시,남구 을,156677,"달동, 삼산동, 대현동, 수암동, 선암동, 야음·장생포동"
울산광역시,동구,175053,동구 전역
울산광역시,북구,191108,북구 전역
울산광역시,울주군,219287,울주군 전역
세종특별자치시,세종특별자치시,202214,세종특별자치시 전역
경기도,수원시 갑,254729,"장안구 파장동, 정자1동, 정자2동, 정자3동, 영화동, 송죽동, 조원1동, 조원2동, 연무동"
경기도,수원시 을,233071,장안구 율천동
경기도,수원시 을,233071,"권선구 평동, 서둔동, 구운동, 금곡동, 호매실동, 입북동"
경기도,수원시 병,199635,팔달구 전역[7]
경기도,수원시 정,235362,"영통구 매탄1동, 매탄2동, 매탄3동, 매탄4동, 원천동, 영통1동, 광교1동, 광교2동"
경기도,수원시 무,259431,"권선구 세류1동, 세류2동, 세류3동, 권선1동, 권선2동, 곡선동"
경기도,수원시 무,259431,"영통구 영통2동, 태장동"
경기도,성남시 수정구,219624,수정구 전역
경기도,성남시 중원구,248860,중원구 전역
경기도,성남시 분당구 갑,260579,"서현1동, 서현2동, 이매1동, 이매2동, 야탑1동, 야탑2동, 야탑3동, 판교동, 삼평동, 백현동, 운중동"
경기도,성남시 분당구 을,240840,"분당동, 수내1동, 수내2동, 수내3동, 정자동, 정자1동, 정자2동, 정자3동, 금곡동, 구미1동, 구미동"
경기도,의정부시 갑,204102,"의정부1동, 의정부2동, 의정부3동, 호원1동, 호원2동, 가능1동, 가능2동, 가능3동, 녹양동"
경기도,의정부시 을,229191,"장암동, 신곡1동, 신곡2동, 송산1동, 송산2동, 자금동"
경기도,안양시 만안구,247064,만안구 전역
경기도,안양시 동안구 갑,178879,"비산1동, 비산2동, 비산3동, 부흥동, 달안동, 관양1동, 관양2동, 부림동"
경기도,안양시 동안구 을,172643,"평촌동, 평안동, 귀인동, 호계1동, 호계2동, 호계3동, 범계동, 신촌동, 갈산동"
경기도,부천시 원미구 갑,169083,"심곡1동, 심곡2동, 심곡3동, 원미1동, 원미2동, 소사동, 역곡1동, 역곡2동, 춘의동, 도당동"
경기도,부천시 원미구 을,272734,"약대동, 중동, 중1동, 중2동, 중3동, 중4동, 상동, 상1동, 상2동, 상3동"
경기도,부천시 소사구,222654,소사구 전역
경기도,부천시 오정구,184478,오정구 전역
경기도,광명시 갑,155516,"광명1동, 광명2동, 광명3동, 광명4동, 광명5동, 광명6동, 광명7동, 철산1동, 철산2동, 철산4동"
경기도,광명시 을,189761,"철산3동, 하안1동, 하안2동, 하안3동, 하안4동, 소하1동, 소하2동, 학온동"
경기도,평택시 갑,179622,"진위면, 서탄면, 중앙동, 서정동, 송탄동, 지산동, 송북동, 신장1동, 신장2동, 통복동, 세교동"
경기도,평택시 을,277466,"팽성읍, 안중읍, 포승읍, 고덕면, 오성면, 청북면, 현덕면, 신평동, 원평동, 비전1동, 비전2동"
경기도,동두천시·연천군,143191,동두천시·연천군 전역
