시도명,의석수,선거구,관할구역,변동,인구수
서울특별시,49,송파구 을,"송파구 석촌동, 문정2동, 가락1동, 잠실본동, 잠실2동, 잠실3동, 잠실7동, 삼전동",NA,234842
서울특별시,49,송파구 병,"송파구 오금동, 문정1동, 가락2동, 가락본동, 거여1동, 거여2동, 마천1동, 마천2동, 장지동, 위례동",NA,253364
서울특별시,49,강동구 갑,"강동구 암사1동, 암사2동, 암사3동, 명일1동, 명일2동, 고덕1동, 고덕2동, 강일동, 상일동, 길동",NA,265882
서울특별시,49,강동구 을,"강동구 천호1동, 천호2동, 천호3동, 성내1동, 성내2동, 성내3동, 둔촌1동, 둔촌2동",NA,185982
부산광역시,18,중구·영도구,"중구 전 지역, 영도구 전 지역",,157754
부산광역시,18,서구·동구,"서구 전 지역, 동구 전 지역",,196840
부산광역시,18,부산진구 갑,"부산진구 부전1동, 당감1동, 당감2동, 당감4동, 양정1동, 양정2동, 부암1동, 부암3동, 연지동, 초읍동",,178677
부산광역시,18,부산진구 을,"부산진구 부전2동, 개금1동, 개금2동, 개금3동, 가야1동, 가야2동, 범천1동, 범천2동, 전포1동, 전포2동",,177901
부산광역시,18,동래구,동래구 전 지역,,272261
부산광역시,18,남구 갑,"남구 문현1동, 문현2동, 문현3동, 문현4동, 대연4동, 대연5동, 대연6동, 감만1동, 감만2동, 용당동, 우암동",경계조정,137714
부산광역시,18,남구 을,"남구 용호1동, 용호2동, 용호3동, 용호4동, 대연1동, 대연3동",경계조정,134815
부산광역시,18,북구·강서구 갑,"북구 구포1동, 구포2동, 구포3동, 덕천1동, 덕천2동, 덕천3동, 만덕1동, 만덕2동, 만덕3동",,159656
부산광역시,18,북구·강서구 을,"북구 금곡동, 화명1동, 화명2동, 화명3동 + 강서구 전 지역",,261083
부산광역시,18,해운대구 갑,"해운대구 좌1동, 좌2동, 좌3동, 좌4동, 중1동, 중2동, 우1동, 우2동, 우3동, 송정동",,225541
부산광역시,18,해운대구 을,"해운대구 반여1동, 반여2동, 반여3동, 반여4동, 반송1동, 반송2동, 재송1동, 재송2동",,179881
부산광역시,18,사하구 갑,"사하구 당리동, 하단1동, 하단2동, 괴정1동, 괴정2동, 괴정3동, 괴정4동",,136527
부산광역시,18,사하구 을,"사하구 구평동, 장림1동, 장림2동, 신평1동, 신평2동, 다대1동, 다대2동, 감천1동, 감천2동",,182499
부산광역시,18,금정구,금정구 전 지역,,237779
부산광역시,18,연제구,연제구 전 지역,,210408
부산광역시,18,수영구,수영구 전 지역,,176959
부산광역시,18,사상구,사상구 전 지역,,216913
부산광역시,18,기장군,기장군 전 지역,,166991
대구광역시,12,중구·남구,"중구 전 지역, 남구 전 지역",NA,224999
대구광역시,12,동구 갑,"동구 신천1·2동, 신천3동, 신천4동, 지저동, 동촌동, 신암1동, 신암2동, 신암3동, 신암4동, 신암5동, 효목1동, 효목2동",NA,138944
대구광역시,12,동구 을,"동구 안심1동, 안심2동, 안심3·4동, 도평동, 방촌동, 해안동, 공산동, 불로·봉무동",NA,204881
대구광역시,12,서구,서구 전 지역,NA,174001
대구광역시,12,북구 갑,"북구 복현1동, 복현2동, 고성동, 칠성동, 대현동, 검단동, 노원동, 산격1동, 산격2동, 산격3동, 산격4동, 침산1동, 침산2동, 침산3동",NA,185477
대구광역시,12,북구 을,"북구 태전1동, 태전2동, 관문동, 구암동, 관음동, 읍내동, 동천동, 국우동, 무태·조야동",NA,251105
대구광역시,12,수성구 갑,"수성구 범어1동, 범어2동, 범어3동, 범어4동, 만촌1동, 만촌2동, 만촌3동, 고산1동, 고산2동, 고산3동, 황금1동, 황금2동",NA,255126
대구광역시,12,수성구 을,"수성구 지산1동, 지산2동, 범물1동, 범물2동, 수성1가동, 수성2·3가동, 수성4가동, 두산동, 중동, 상동, 파동",NA,173658
대구광역시,12,달서구 갑,"달서구 용산1동, 용산2동, 죽전동, 장기동, 이곡1동, 이곡2동, 신당동",NA,167425
대구광역시,12,달서구 을,"달서구 월성1동, 월성2동, 진천동, 도원동, 상인1동, 상인2동, 상인3동",NA,248634
대구광역시,12,달서구 병,"달서구 송현1동, 송현2동, 성당동, 본리동, 두류1·2동, 두류3동, 감삼동, 본동",NA,151882
대구광역시,12,달성군,달성군 전 지역,NA,256695
인천광역시,13,중구·강화군·옹진군,"중구 전 지역, 강화군 전 지역, 옹진군 전 지역","구역조정, 명칭변경",227006
인천광역시,13,동구·미추홀구 갑,"미추홀구 주안1동, 주안2동, 주안3동, 주안4동, 주안5동, 주안6동, 주안7동, 주안8동, 도화1동, 도화2·3동 + 동구 전 지역","구역조정, 명칭변경",253650
인천광역시,13,동구·미추홀구 을,"미추홀구 용현1·4동, 용현2동, 용현3동, 용현5동, 숭의1·3동, 숭의2동, 숭의4동, 학익1동, 학익2동, 관교동, 문학동","구역조정, 명칭변경",217475
인천광역시,13,연수구 갑,"연수구 옥련2동, 동춘3동, 선학동, 연수1동, 연수2동, 연수3동, 청학동",,144384
인천광역시,13,연수구 을,"연수구 옥련1동, 동춘1동, 동춘2동, 송도1동, 송도2동, 송도3동, 송도4동",,226413
인천광역시,13,남동구 갑,"남동구 간석1동, 간석4동, 구월1동, 구월3동, 구월4동, 논현1동, 논현2동, 논현고잔동, 남촌도림동",,259914
인천광역시,13,남동구 을,"남동구 간석2동, 간석3동, 구월2동, 만수1동, 만수2동, 만수3동, 만수4동, 만수5동, 만수6동, 장수서창동, 서창2동",,272249
인천광역시,13,부평구 갑,"부평구 산곡3동, 산곡4동, 부평1동, 부평2동, 부평3동, 부평4동, 부평5동, 부평6동, 부개1동, 십정1동, 십정2동, 일신동",,265623
인천광역시,13,부평구 을,"부평구 산곡1동, 산곡2동, 갈산1동, 갈산2동, 삼산1동, 삼산2동, 청천1동, 청천2동, 부개2동, 부개3동",,241727
인천광역시,13,계양구 갑,"계양구 효성1동, 효성2동, 작전1동, 작전2동, 작전서운동",,136902
인천광역시,13,계양구 을,"계양구 계산1동, 계산2동, 계산3동, 계산4동, 계양1동, 계양2동, 계양3동",,164709
인천광역시,13,서구 갑,"서구 신현원창동, 청라1동, 청라2동, 가좌1동, 가좌2동, 가좌3동, 가좌4동, 가정1동, 가정2동, 가정3동, 석남1동, 석남2동, 석남3동",경계조정,270999
인천광역시,13,서구 을,"서구 검암경서동, 청라3동, 연희동, 검단동, 원당동, 당하동, 마전동, 불로대곡동, 오류왕길동",경계조정,273244
광주광역시,8,동구·남구 갑,"남구 진월동, 노대동, 덕남동, 송암동, 대촌동, 월산동, 월산4동, 월산5동, 봉선1동, 봉선2동, 주월1동, 주월2동",NA,169115
광주광역시,8,동구·남구 을,"남구 양림동, 사직동, 방림1동, 방림2동, 백운1동, 백운2동 + 동구 전 지역",NA,147424
광주광역시,8,서구 갑,"서구 상무1동, 화정1동, 화정2동, 농성1동, 농성2동, 광천동, 유덕동, 치평동, 동천동, 양동, 양3동",NA,155299
광주광역시,8,서구 을,"서구 상무2동, 화정3동, 화정4동, 금호1동, 금호2동, 서창동, 풍암동",NA,145176
광주광역시,8,북구 갑,"북구 중흥1동, 중흥2동, 중흥3동, 중앙동, 신안동, 우산동, 풍향동, 문화동, 석곡동, 임동, 두암1동, 두암2동, 두암3동, 문흥1동, 문흥2동, 오치1동, 오치2동",NA,176509
광주광역시,8,북구 을,"북구 운암1동, 운암2동, 운암3동, 용봉동, 동림동, 삼각동, 일곡동, 매곡동, 건국동, 양산동",NA,256516
광주광역시,8,광산구 갑,"광산구 송정1동, 송정2동, 도산동, 신흥동, 어룡동, 우산동, 운남동, 동곡동, 월곡1동, 월곡2동, 삼도동, 본량동, 평동",NA,167593
광주광역시,8,광산구 을,"광산구 첨단1동, 첨단2동, 비아동, 신가동, 신창동, 수완동, 하남동, 임곡동",NA,238229
대전광역시,7,동구,동구 전 지역,NA,225442
대전광역시,7,중구,중구 전 지역,NA,239728
대전광역시,7,서구 갑,"서구 복수동, 도마1동, 도마2동, 정림동, 변동, 괴정동, 가장동, 내동, 가수원동, 관저1동, 관저2동, 기성동",NA,258130
대전광역시,7,서구 을,"서구 용문동, 탄방동, 둔산1동, 둔산2동, 둔산3동, 갈마1동, 갈마2동, 월평1동, 월평2동, 월평3동, 만년동",NA,223114
대전광역시,7,유성구 갑,"유성구 진잠동, 온천1동, 온천2동, 노은1동, 원신흥동",NA,178406
대전광역시,7,유성구 을,"유성구 노은2동, 노은3동, 신성동, 전민동, 구즉동, 관평동",NA,171573
대전광역시,7,대덕구,대덕구 전 지역,NA,175894
울산광역시,6,중구,중구 전 지역,NA,221894
울산광역시,6,남구 갑,"남구 신정1동, 신정2동, 신정3동, 신정4동, 신정5동, 삼호동, 무거동, 옥동",NA,173616
울산광역시,6,남구 을,"남구 달동, 삼산동, 야음장생포동, 대현동, 수암동, 선암동",NA,149821
울산광역시,6,동구,동구 전 지역,NA,158556
울산광역시,6,북구,북구 전 지역,NA,218299
울산광역시,6,울주군,울주군 전 지역,NA,222453
세종특별자치시,2,세종특별자치시 갑,"부강면, 금남면, 장군면, 한솔동, 새롬동, 도담동, 소담동, 보람동, 대평동",분구,188393
세종특별자치시,2,세종특별자치시 을,"조치원읍, 연기면, 연동면, 연서면, 전의면, 전동면, 소정면, 아름동, 종촌동, 고운동",분구,156353
경기도,59,수원시 갑,"수원시 장안구 파장동, 송죽동, 영화동, 연무동, 정자1동, 정자2동, 정자3동, 조원1동, 조원2동",,233433
경기도,59,수원시 을,"수원시 장안구 율천동 + 권선구 평동, 서둔동, 구운동, 금곡동, 입북동, 호매실동",,257131
경기도,59,수원시 병,수원시 팔달구 전 지역,,175641
경기도,59,수원시 정,"수원시 영통구 영통1동, 매탄1동, 매탄2동, 매탄3동, 매탄4동, 광교1동, 광교2동, 원천동",,249329
경기도,59,수원시 무,"수원시 영통구 영통2동, 영통3동, 망포1동, 망포2동 + 권선구 세류1동, 세류2동, 세류3동, 권선1동, 권선2동, 곡선동",,277082
경기도,59,성남시 수정구,성남시 수정구 전 지역,,234352
경기도,59,성남시 중원구,성남시 중원구 전 지역,,219400
경기도,59,성남시 분당구 갑,"성남시 분당구 야탑1동, 야탑2동, 야탑3동, 판교동, 삼평동, 백현동, 운중동, 서현1동, 서현2동, 이매1동, 이매2동",,255117
