SFZN_ID,INST_NM,RDNMADR,LNMADR,INST_PURPS,CCTV_CNT,CCTV_PIXEL,PTGRF_INFO,CSTDY_DAY,INST_YYMM,PH_NUMBER,경도,위도,REF_DATE,ID_PRT
7,광명시,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,어린이보호,4,0,360도전방면,,,182,126.8471602,37.47783595,2021-10-18,0007-V-0004
7,광명시,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,다목적,5,0,360도전방면,,,182,126.8477022,37.47833641,2021-10-18,0007-V-0002
3,광명시,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,어린이보호,4,0,360도전방면,,,182,126.8466281,37.47054935,2021-10-26,0003-V-0001
3,광명시,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,다목적,1,0,360도전방면,,,182,126.8456755,37.4710832,2021-10-26,0003-V-0002
3,광명시,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,다목적,1,0,360도전방면,,,182,126.8473819,37.47162893,2021-10-26,0003-V-0005
3,광명시,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,다목적,4,0,360도전방면,,,182,126.8489275,37.4706113,2021-10-26,0003-V-0006
13,광명시,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,어린이보호,5,0,360도전방면,,,182,126.8506037,37.46639379,2021-10-26,0013-V-0002
13,광명시,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,어린이보호,4,0,360도전방면,,,182,126.8511573,37.46710654,2021-10-26,0013-V-0001
2,광명시,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58,다목적,4,0,360도전방면,,,182,126.8532072,37.47635188,2021-10-18,0002-V-0004
7,광명시,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,다목적,4,0,360도전방면,,,182,126.8462908,37.47873686,2021-10-18,0007-V-0001
7,광명시,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,쓰레기단속,2,0,360도전방면,,,182,126.8473718,37.47800273,2021-10-18,0007-V-0003
7,광명시,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,쓰레기단속,2,0,360도전방면,,,182,126.8476184,37.4772987,2021-10-18,0007-V-0005
3,광명시,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,다목적,1,0,360도전방면,,,182,126.8460609,37.47158204,2021-10-26,0003-V-0003
3,광명시,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,다목적,4,0,360도전방면,,,182,126.8460674,37.47159878,2021-10-26,0003-V-0004
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,4,0,360도전방면,,,182,126.8817074,37.41122009,2021-11-26,0025-V-0009
6,광명시,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,어린이보호,1,0,360도전방면,,,182,126.846348,37.44206813,2021-11-23,0006-V-0002
