시도명,선거구,후보자,공천_유형,경력,유튜브
경기도,평택 갑,홍기원,경선 공천,,https://www.youtube.com/channel/UC67CgEvoFzrRWUEiRkRzE4g
경기도,평택 을,김현정,전략 공천,,https://www.youtube.com/channel/UC06KOGTQls2OsECol2R2ASA
경기도,동두천·연천,서동욱,경선 공천,,https://www.youtube.com/channel/UCUIs6OgkuaamUTsnV9fTq7Q
경기도,안산 상록 갑,전해철,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UCPFd6di9x3LnyuTLWHlcR4w
경기도,안산 상록 을,김철민,단수 공천,20대 국회의원전 안산시장,https://www.youtube.com/channel/UCTefTLWNAxLPrbQwLm0JzvQ
경기도,안산 단원 갑,고영인,경선 공천,,https://www.youtube.com/channel/UCaaIRghu-ZjqIdKe0-ZbShA
경기도,안산 단원 을,김남국,전략 공천,변호사,https://www.youtube.com/channel/UC5ylgZz6hi0eCIzAq7y5H9g
경기도,고양 갑,문명순,단수 공천,,https://www.youtube.com/channel/UC1w3vCc-kgwKQNUvZju2V1w
경기도,고양 을,한준호,전략 공천,전 MBC 아나운서,https://www.youtube.com/channel/UC6yHD0Zc6bOt2BDzH2GkR2g
경기도,고양 병,홍정민,전략 공천,변호사,https://www.youtube.com/channel/UCS8bSzRLbsU1D4Q0BuRxZ-g
경기도,고양 정,이용우,전략 공천,전 카카오뱅크 대표이사,https://www.youtube.com/channel/UCkCy4zsH5flBg3Zl3KuCNxw
경기도,의왕·과천,이소영,전략 공천,변호사,https://www.youtube.com/channel/UCWw2YRY-nQFi6MrFVI30jkA
경기도,구리,윤호중,단수 공천,17·19·20대 국회의원,https://www.youtube.com/channel/UC2bZ8G-F8-2lEKENLkaLIMw
경기도,남양주 갑,조응천,경선 공천,20대 국회의원전 청와대 공직기강비서관,https://www.youtube.com/channel/UCzDLR2GTRqNsIFSnLacmdKg
경기도,남양주 을,김한정,경선 공천,20대 국회의원,https://www.youtube.com/channel/UC65jRRziJMGr9lJbMvQiKxQ
경기도,남양주 병,김용민,전략 공천,변호사,https://www.youtube.com/channel/UCm6jDQGxHHBSHeHjin1bBaQ
경기도,오산,안민석,단수 공천,17·18·19·20대 국회의원,https://www.youtube.com/channel/UC1Uqb27Pk77r3Duub0v--Tg
경기도,시흥 갑,문정복,경선 공천,,https://www.youtube.com/channel/UCHqPIz08wKeJQMcWSKmX7zw
경기도,시흥 을,조정식,단수 공천,17·18·19·20대 국회의원,https://www.youtube.com/channel/UCg1307lAxp0FA6-463soY3w
경기도,군포,이학영,경선 공천,19·20대 국회의원,https://www.youtube.com/channel/UClztZIVGP1NmO7E8ZvKDwKg
경기도,하남,최종윤,경선 공천,,https://www.youtube.com/channel/UCJkKHjojkbCU_fDPqGIMgAg
경기도,용인 갑,오세영,경선 공천,,https://www.youtube.com/channel/UCREUzD_1ld56M_UBiK5vIDQ
경기도,용인 을,김민기,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UCcpTAUYOJitquf42Lemv5tg
경기도,용인 병,정춘숙,경선 공천,20대 국회의원(비례대표),https://www.youtube.com/channel/UCQWdcDIhn1QV6leDvMVZ07A
경기도,용인 정,이탄희,전략 공천,변호사전 수원지법 안양지원 판사,https://www.youtube.com/channel/UCz3Cg0Wu8_3rhFYeG5lXiYg
경기도,파주 갑,윤후덕,경선 공천,19·20대 국회의원,https://www.youtube.com/channel/UCuWPJoAG0svJVZ7sbk5qOPQ
경기도,파주 을,박정,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCuj6MaCWb7nzGAxkHVIy7qg
경기도,이천,김용진,경선 공천,전 기획재정부 차관,https://www.youtube.com/channel/UC2UNH3sBPAyQcZX9Q79AkmQ
경기도,안성,이규민,경선 공천,,https://www.youtube.com/channel/UCtVSvZD5VyJyBJUdZ5ACpFQ
경기도,김포 갑,김주영,전략 공천,전 한국노총 위원장,https://www.youtube.com/channel/UCZNx1EOc3M10QqrqJ_6tbGg
경기도,김포 을,박상혁,경선 공천,,https://www.youtube.com/channel/UC0QLdjTkTrzykt08QSbfL6A
경기도,화성 갑,송옥주,경선 공천,20대 국회의원(비례대표),https://www.youtube.com/channel/UCMfrmxtNozvkNPetMwyrjCQ
경기도,화성 을,이원욱,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UCtiqBg_0_W1TNcsF-iw_2fg
경기도,화성 병,권칠승,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCXe7Q0Lhhx3-AaRSP7Pm27w
경기도,광주 갑,소병훈,경선 공천,20대 국회의원,https://www.youtube.com/channel/UC9BK2KCPSPFUqCKrCX7EYHg
경기도,광주 을,임종성,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCDc7mJ9CSldcIccnlsKHlew
경기도,양주,정성호,단수 공천,17·19·20대 국회의원,https://www.youtube.com/channel/UCqT1cTXIjV6eC_pzG-zDHHw
경기도,포천·가평,이철휘,경선 공천,,https://www.youtube.com/channel/UCo5uIFWmzixcYFu2wRqX2kw
경기도,여주·양평,최재관,경선 공천,,https://www.youtube.com/channel/UC5lwsDkMq72nzGzeHAOUUcw
강원도,춘천·철원·화천·양구 갑,허영,경선 공천,,https://www.youtube.com/channel/UCLuIeT3nUt-Dza7UGEwKK_A
강원도,춘천·철원·화천·양구 을,정만호,경선 공천,,https://www.youtube.com/channel/UCVCjmV3CQg0gXqcE7N0smNA
강원도,홍천·횡성·영월·평창,원경환,단수 공천,전 서울지방경찰청장,https://www.youtube.com/channel/UCMhYBC7KW-gTlPQlUWnPqWQ
강원도,원주 갑,이광재,경선 공천,17·18대 국회의원전 강원도지사,https://www.youtube.com/channel/UCGQQZrLdCplaD3nktXBdmSw
강원도,원주 을,송기헌,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCxcmGOd1gdDtZ7teZJnJcrQ
강원도,강릉,김경수,단수 공천,,https://www.youtube.com/channel/UCjYYwPT3UeSX0qmb_sxHleg
강원도,동해·태백·삼척·정선,김동완,경선 공천,,https://www.youtube.com/channel/UCwEs0fU7b5qUbwjlWoajfew
강원도,속초·인제·고성·양양,이동기,경선 공천,,https://www.youtube.com/channel/UC0QL-sCstreRRzI72KyLSfQ
충청북도,청주 상당,정정순,경선 공천,,https://www.youtube.com/channel/UC01GtAIEBBCipkwWyQqIouQ/videos
충청북도,청주 서원,이장섭,경선 공천,,https://www.youtube.com/channel/UCS81QOo3pfXZau93AHYNzXQ
충청북도,청주 흥덕,도종환,단수 공천,19·20대 국회의원전 문화체육관광부 장관,https://www.youtube.com/channel/UCrvgPazScEgbcmHG6vNNRfA
충청북도,청주 청원,변재일,단수 공천,17·18·19·20대 국회의원,https://www.youtube.com/channel/UC9nFCoLESamzxfvCyQL4wCQ
충청북도,충주,김경욱,단수 공천,,https://www.youtube.com/channel/UCueAzD-bvLSqtqovAMYyDEQ
충청북도,제천·단양,이후삼,경선 공천,20대 국회의원,https://www.youtube.com/channel/UCsBpO2b8jLMxFnM016E07vg
충청북도,보은·옥천·영동·괴산,곽상언,경선 공천,변호사,https://www.youtube.com/channel/UCHmBMimjBdm4AwWkuCAML_Q
충청북도,증평·진천·음성,임호선,단수 공천,,https://www.youtube.com/channel/UCUNoTSi77tKCTenQx8gcHQQ
충청남도,천안 갑,문진석,전략 공천,,https://www.youtube.com/channel/UCL3zKoc_h1ErJCPhhs6K6UQ
충청남도,천안 을,박완주,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UCL3cD_phTzvLs8f25PP4ZIQ
충청남도,천안 병,이정문,경선 공천,,
