시도명,선거구,후보자,공천_유형,경력,유튜브
서울특별시,서초 갑,이정근,단수 공천,전 지역위원장,https://www.youtube.com/channel/UCFGH4ZVBwvvttjE9SDMEXwA
서울특별시,서초 을,박경미,경선 공천,20대 국회의원,https://www.youtube.com/channel/UCk4gACsvSKF9_A4-ZjRC6og
서울특별시,강남 갑,김성곤,단수 공천,15·17·18·19대 국회의원,https://www.youtube.com/channel/UCmeprj43wogZWxbGELbYqAA
서울특별시,강남 을,전현희,단수 공천,18대·20대 국회의원,https://www.youtube.com/channel/UCxDSg4ch-i57tzukpLRaxkw
서울특별시,강남 병,김한규,전략 공천,변호사,https://www.youtube.com/channel/UCbSEuksiYgUh7rJmCt_C8sQ
서울특별시,송파 갑,조재희,경선 공천,전 정책기획위원,https://www.youtube.com/channel/UCRzkhBusj7rsXQH0UYNF08w
서울특별시,송파 을,최재성,단수 공천,17·18·19·20대 국회의원,https://www.youtube.com/channel/UCvc8zpWjQ8fa7HXpBQSigSA
서울특별시,송파 병,남인순,단수 공천,19대·20대 국회의원,https://www.youtube.com/channel/UCALlMT1LcJMlCDJ1FGf2mdQ
서울특별시,강동 갑,진선미,단수 공천,19·20대 국회의원여성가족부 장관 (2018~2019),https://www.youtube.com/channel/UCJjg88xb_nV020aichTln3A
서울특별시,강동 을,이해식,경선 공천,민선4·5·6기 서울 강동구청장,https://www.youtube.com/channel/UCLas1k2D1KNjWKXfETd2WjA
부산광역시,중·영도,김비오,경선 공천,전 지역위원장,https://www.youtube.com/channel/UCIf2IziAYS4VjpY1WOmXjLA
부산광역시,서·동,이재강,경선 공천,전 지역위원장,https://www.youtube.com/channel/UC190UjHfvH6wDzWDCIKNcIw
부산광역시,부산진 갑,김영춘,단수 공천,16·17·20대 국회의원해양수산부 장관 (2017~2019),https://www.youtube.com/user/busan0411
부산광역시,부산진 을,류영진,경선 공천,전 식품의약품안전처장,https://www.youtube.com/channel/UCKW3Lj3jgmTwQXDC3JB7DbA
부산광역시,동래,박성현,단수 공천,,https://www.youtube.com/channel/UCRA71Y5-Jos_tz28sqWhhIQ
부산광역시,남 갑,강준석,전략 공천,13대 해양수산부 차관,https://www.youtube.com/channel/UC5-U8m3qTMMVRQexUXTBIVA
부산광역시,남 을,박재호,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCJAyg38CK6X8ZUb4n1BA4dg
부산광역시,북·강서 갑,전재수,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCcDu9m1KSSWesVAcwF0tDiw
부산광역시,북·강서 을,최지은,전략 공천,전 세계은행 선임 이코노미스트,https://www.youtube.com/channel/UC0UpsXG9Wg4Pz44ypy0exFw
부산광역시,해운대 갑,유영민,단수 공천,과학정보기술통신부 장관 (2017년~2019년),https://www.youtube.com/channel/UCXZ_ONdl5GjuSYClrppLnTA
부산광역시,해운대 을,윤준호,단수 공천,20대 국회의원,https://www.youtube.com/channel/UC9VQRXeXcUXtxWMU8ULUPXg
부산광역시,사하 갑,최인호,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCH2WkArkCgAkarKpeh9vh5A
부산광역시,사하 을,이상호,경선 공천,,https://www.youtube.com/channel/UCRuB31JfpRZ-0ywMkcHGKkA
부산광역시,금정,박무성,경선 공천,변호사,https://www.youtube.com/channel/UCDUH7dl7PZz173JTGQ8k0rQ
부산광역시,연제,김해영,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCqai6zGUhybtDXukqm_lc2A
부산광역시,수영,강윤경,단수 공천,,https://www.youtube.com/channel/UCvgvOBsqCKjhH9KAl4MbejQ
부산광역시,사상,배재정,단수 공천,19대 국회의원 (비례대표),https://www.youtube.com/channel/UCvPm8YrweHLItZ5d89AJ9qg
부산광역시,기장,최택용,경선 공천,,https://www.youtube.com/channel/UCr75l7054LzOIjbZrG3LeoQ
대구광역시,중·남,이재용,단수 공천,전 환경부 장관,https://www.youtube.com/channel/UCQrCCzFBHa0pi3-Hwh3uwOw
대구광역시,동 갑,서재헌,단수 공천,,https://www.youtube.com/channel/UCWvHAosbO9v_L3CLdYodtwQ
대구광역시,동 을,이승천,단수 공천,,https://www.youtube.com/channel/UCbaED-pdIrK2Ln1wjxF38dw
대구광역시,서,윤선진,단수 공천,,https://www.youtube.com/channel/UCuzckLb8OTlQe5cJrW9mwtg
대구광역시,북 갑,이헌태,단수 공천,,https://www.youtube.com/channel/UCmMVL-QkqhvOATF7wLj62lw
대구광역시,북 을,홍의락,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UCz2AjIxskYiWTmzv9EqcNag
대구광역시,수성 갑,김부겸,단수 공천,16·17·18·20대 국회의원행정안전부 장관 (2017~2019),https://www.youtube.com/channel/UCae7b7yN0bsReycvi_BOrZA
대구광역시,수성 을,이상식,단수 공천,전 대구지방경찰청장,https://www.youtube.com/channel/UC76088rCZStAG8ViLyWxM-A
대구광역시,달서 갑,권택흥,단수 공천,,https://www.youtube.com/channel/UCG3GLqz6G-ORdjcNOnc63cA
대구광역시,달서 을,허소,경선 공천,,https://www.youtube.com/channel/UC4P5KwRcgVF-Zg5FtPP86LQ
대구광역시,달서 병,김대진,단수 공천,,https://www.youtube.com/channel/UCQdfhg1w9b36JcaJ00p-C2Q
대구광역시,달성,박형룡,경선 공천,,https://www.youtube.com/channel/UClTWNtz7LfkeI9f1YERbVKw
인천광역시,중·강화·옹진,조택상,단수 공천,,https://www.youtube.com/channel/UC4iL-5zH6AEXRRs5nLjE4cQ
인천광역시,동·미추홀 갑,허종식,단수 공천,전 인천광역시 정무경제부시장,https://www.youtube.com/channel/UC-XStZg-s811-oxy8EbSOOA
인천광역시,동·미추홀 을,남영희,경선 공천,,https://www.youtube.com/channel/UCtRpdLcDYE7lioOEAA-gTaA
인천광역시,연수 갑,박찬대,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCM2tZCsO6uDgbUxtG2WBkww
인천광역시,연수 을,정일영,경선 공천,전 인천국제공항공사 사장,https://www.youtube.com/channel/UC9J1VAzaDZ5mS9Frfyk0lHg
인천광역시,남동 갑,맹성규,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCtkD6GdkZG_b9fv2HN5rW_A
인천광역시,남동 을,윤관석,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCItdMqnreJbJHFgkWFZBQQg
인천광역시,부평 갑,이성만,경선 공천,전 인천광역시 시의원,https://www.youtube.com/channel/UCI1q_uBV4fkaQpBi90HqObg
